region,code,variable,groupe,valeur
11 - ILE-DE-France,11,ACTE(VGP),65 ans et plus,4556
11 - ILE-DE-France,11,DOSES(J07E1),65 ans et plus,5797
11 - ILE-DE-France,11,ACTE(VGP),moins de 65 ans,443
11 - ILE-DE-France,11,DOSES(J07E1),moins de 65 ans,605
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),65 ans et plus,4229
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),65 ans et plus,6134
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,452
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),moins de 65 ans,654
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),65 ans et plus,3627
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),65 ans et plus,5813
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),moins de 65 ans,365
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),moins de 65 ans,599
28 - NORMANDIE,28,ACTE(VGP),65 ans et plus,4483
28 - NORMANDIE,28,DOSES(J07E1),65 ans et plus,6266
28 - NORMANDIE,28,ACTE(VGP),moins de 65 ans,514
28 - NORMANDIE,28,DOSES(J07E1),moins de 65 ans,735
32 - HAUTS-DE-France,32,ACTE(VGP),65 ans et plus,3542
32 - HAUTS-DE-France,32,DOSES(J07E1),65 ans et plus,6126
32 - HAUTS-DE-France,32,ACTE(VGP),moins de 65 ans,417
32 - HAUTS-DE-France,32,DOSES(J07E1),moins de 65 ans,692
44 - GRAND-EST,44,ACTE(VGP),65 ans et plus,3749
44 - GRAND-EST,44,DOSES(J07E1),65 ans et plus,5720
44 - GRAND-EST,44,ACTE(VGP),moins de 65 ans,394
44 - GRAND-EST,44,DOSES(J07E1),moins de 65 ans,613
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),65 ans et plus,4334
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),65 ans et plus,6268
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),moins de 65 ans,462
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),moins de 65 ans,674
53 - BRETAGNE,53,ACTE(VGP),65 ans et plus,4427
53 - BRETAGNE,53,DOSES(J07E1),65 ans et plus,6633
53 - BRETAGNE,53,ACTE(VGP),moins de 65 ans,534
53 - BRETAGNE,53,DOSES(J07E1),moins de 65 ans,789
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),65 ans et plus,4063
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),65 ans et plus,6220
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),moins de 65 ans,442
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),moins de 65 ans,687
76 - OCCITANIE,76,ACTE(VGP),65 ans et plus,3988
76 - OCCITANIE,76,DOSES(J07E1),65 ans et plus,5995
76 - OCCITANIE,76,ACTE(VGP),moins de 65 ans,402
76 - OCCITANIE,76,DOSES(J07E1),moins de 65 ans,606
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),65 ans et plus,3747
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),65 ans et plus,5867
84 - AUVERGNE-RHONE-ALPES,84,ACTE(VGP),moins de 65 ans,382
84 - AUVERGNE-RHONE-ALPES,84,DOSES(J07E1),moins de 65 ans,612
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),65 ans et plus,3775
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),65 ans et plus,5859
93 - PROVENCE-ALPES-COTES-D'AZUR,93,ACTE(VGP),moins de 65 ans,375
93 - PROVENCE-ALPES-COTES-D'AZUR,93,DOSES(J07E1),moins de 65 ans,604
94 - CORSE,94,ACTE(VGP),65 ans et plus,2074
94 - CORSE,94,DOSES(J07E1),65 ans et plus,4858
94 - CORSE,94,ACTE(VGP),moins de 65 ans,209
94 - CORSE,94,DOSES(J07E1),moins de 65 ans,494
