campagne,date,variable,valeur,cible
2024-2025,2025-02-28,ACTE(VGP),6629119,5645127
2024-2025,2025-02-28,DOSES(J07E1),10929266,10510433
2024-2025,2025-02-28,UNIVERS,20287,20585
2024-2025,2025-02-28,PHARMACIES,17953,16946
2024-2025,2025-02-28,POURCENTAGE,89,83
